model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,378
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,379
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,0.9,0.3,2.073026933928149,0.30000000000000004,10,380
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,381
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,382
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,383
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,384
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,385
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,386
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,387
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,388
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,389
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,390
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,391
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,392
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,393
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,394
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,395
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,396
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,397
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,398
mistralai/Mistral-7B-Instruct-v0.2,C1,0.1,1.0,0.9,6.217079801117281,0.9,10,399
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,400
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,501
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,502
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,0.9,0.3,2.073026933928149,0.30000000000000004,10,503
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,504
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,505
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,506
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,507
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,508
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,509
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,510
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,0.9,0.4,2.7637024117930045,0.20000000000000007,10,511
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,512
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,513
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,514
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,515
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,516
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,517
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,518
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,519
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,0.9,0.3,2.073026933928149,0.30000000000000004,10,520
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,521
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,522
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,523
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,524
mistralai/Mistral-7B-Instruct-v0.2,C2,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,525
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,526
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,527
